permitnumber,address,typeofwork,commercialorresidential,occupancytype,approvedscopeofwork,permitissuedate,lng,lat
EP-2022-012863,137 E SPRINGER ST,New Construction,Residential,,Electrical Permit for combo RP-2022-013046,2023-04-24 04:00:00+00,-75.18280286948638,40.05345480112719
1044157,2648 JANNEY ST,New Construction,Commercial,,"INSTALL NEW 200AMP SERVICE AND WIRE THROUGHOUT A SFD WITH RECEPTS,SWITCHES,LIGHTS,FIXTURES,SMOKES,CO DETECTORS,TV AND PHONE AS PER 2014 NEC (EAST DISTRICT)  ",2020-01-24 14:37:00+00,-75.12047472026296,39.98336244097348
MP-2021-000759,1401 N FELTON ST,New Construction,Residential,,FOR THE INSTALLATION OF MECHANICAL SYSTEMS IN COMPLIANCE WITH EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES.,2022-03-08 05:00:00+00,-75.24396754976067,39.97239647092553
CP-2021-007811,5947 CHANCELLOR ST,New Construction,Commercial,R-2 Residential (>2 Dwellings),"NEW CONSTRUCTION OF A THREE (3) STORY MULTI-FAMILY DWELLING (3 UNITS) AS PER APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED WITH NFPA 13R SYSTEM. **SEPARATE PERMITS REQUIRED FOR MEP & FIRE SUPPRESSION WORK**

* AMENDMENT: FOR REVISED STRUCTURAL COMPONENTS, DELETION OF WINDOWS, REVISED FIRE-RATED ASSEMBLIES.",2022-05-24 04:00:00+00,-75.24092218057335,39.958280530605364
PP-2024-002166,2301 SHARSWOOD ST,New Construction or Additions,Residential,,Plumbing Permit (Water Distribution) for combo RP-2023-003136,2024-04-23 04:00:00+00,-75.17402841021006,39.977326090758716
PP-2021-020669,412 JACKSON ST,New Construction or Additions,Residential,,"Rough in and finish work on 3 new bathrooms and 1 renovated kitchen
also install a laundry sink",2021-11-23 05:00:00+00,-75.15419884036577,39.92094114117381
PP-2022-010844,4002-22 RIDGE AVE,New Construction or Additions,Commercial,,"1-6"" main drain , curb trap, and FAI
1- 12"" Storm main drain
1-2"" domestic water service",2022-07-21 04:00:00+00,-75.18960679998047,40.00709164062407
RP-2022-001565,1923 N 4TH ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),FOR THE ERECTION OF AN ATTACHED STRUCTURE FOR USE AS TWO (2) FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEOTECH REPORT. (UNDERPINNING NOT A PART OF THIS PERMIT). SEPARATE PERMITS REQUIRED FOR SPRINKLER (13D) WORK. ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2015 IECC. PRIOR TO ISSUANCE OF C/O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.,2022-08-10 04:00:00+00,-75.14069395008087,39.98024083066451
FP-2023-000379,1811 S ORIANNA ST,New Construction,Residential,,"INSTALL NEW FIRE SUPPRESSION SYSTEM COMPLYING WITH NFPA 13R THROUGHOUT AN EXISTING STRUCTURE. INSTALLATION  TO INCLUDE 2""  FIRE SERVICE LINE AND 2."" DC WILKINS 950 XLT2 BACKFLOW PREVENTION ASSEMBLY AS PER APPROVED PLANS. ALL WORK SHALL BE PERFORMED BY A FIRE SUPPRESSION CONTRACTOR LICENSED BY THE CITY OF PHILADELPHIA",2023-03-13 04:00:00+00,-75.15215722971831,39.92547169058137
FP-2025-002409,1811 WILLINGTON ST,New Construction,Residential,,"FOR THE INSTALLATION OF AN NFPA 13R SYSTEM FOR A SINGLE-FAMILY DWELLING SERVICED BY A TWO (2) INCH FIRE SERVICE LINE WITH A
2-INCH WILKINS 950XLT2BFSS BACKFLOW PREVENTER AND AUTOMATIC FIRE SUPPRESSION SYSTEM. ALL WORK SHALL BE DONE IN ACCORDANCE WITH 
APPROVED PLANS/HYDRAULIC CALCULATIONS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK.",2025-12-15 05:00:00+00,-75.16133973951155,39.980995430974666
MP-2020-002577,2834 CORAL ST,New Construction,Residential,,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES - For the installation if New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards.  Deviations from these standards require submission of construction and site plans. ",2020-07-27 04:00:00+00,-75.1188622903461,39.988789411023994
PP-2020-004195,6301 HAVERFORD AVE,New Construction or Additions,Commercial,,"Will supply and install new cast iron drain lines from foundation wall for (2) powder rooms, (1) three compartment sink, (1) prep sink, (1) utility sink, (1) hand washing sink, and (2) floor drains. Will supply and install copper water lines from foundation wall to all fixtures listed above. Will supply and install (20 new Bradford White gas fired power vented water heaters. Will supply and install gas piping for (1) roof top furnace, (2) hot water heaters, (2) fryers, (1) oven, and (1) grill from foundation wall. Will install all fixtures listed above.",2020-12-01 05:00:00+00,-75.2452090694753,39.972046490969326
1040789,2000 S 8TH ST,New Construction,Residential,,"INSTALL TWO (2) NEW FIRE SUPPRESSION SYSTEMS (ONE FOR EACH DWELLING UNIT) TO INCLUDE A 1"" COMBINED SERVICE FOR EACH SYSTEM IN ACCORDANCE WITH NFPA 13D THROUGHOUT THE BUILDING. ALL WORK SHALL COMPLY WITH THE APPROVED PLANS. ALL WORK SHALL BE PERFORMED BY A FIRE SUPPRESSION CONTRACTOR LICENSED BY THE CITY OF PHILADELPHIA.",2020-01-14 17:48:00+00,-75.15973356039684,39.92403482079851
1044933,1742-60 MARKET ST,New Construction,Commercial,,EZ PERMIT SPRINKLER RELOCATION (NFPA 13)- For the Relocation of Sprinkler Heads as per attached standards. Deviations from these standards require submission of construction and site plans.,2020-01-28 15:32:00+00,-75.16991637005854,39.9527809011506
PP-2023-008495,2225 N 54TH ST,New Construction or Additions,Residential,,Plumbing Permit (Exterior Building Drainage) for combo RP-2022-008811,2025-07-07 04:00:00+00,-75.2327224095255,39.98967664133011
MP-2020-004419,2001 BEACH ST,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2020-010778,2021-09-24 04:00:00+00,-75.11693210992816,39.971272101012175
MP-2021-002658,122 N CROSKEY ST,New Construction,Residential,,For installation of a vent free fireplace per attached manufacturer's specification at the living room as per approved plan.,2021-05-13 04:00:00+00,-75.1767800902886,39.95687740123742
MP-2023-002438,1307 S STANLEY ST,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2023-003441,2023-07-07 04:00:00+00,-75.19453958013399,39.937400691379985
EP-2023-001756,3402 MESSINA WAY,New Construction,Residential,,"Wire throughout a new single family dwelling: switches, lights, receptacles, TV's, phones, and interconnected smoke/CO detectors as per NEC 2017 (Service on permit, EP-2023-001309).",2023-02-23 05:00:00+00,-75.19090710047031,39.90973944062832
EP-2021-015332,2129 N 8TH ST,New Construction,Residential,,Electrical Permit for combo RP-2021-017952,2022-06-23 04:00:00+00,-75.14677468028255,39.98411141118535
EP-2020-010434,1463 N NEWKIRK ST,New Construction,Residential,,"Install a 200 AMP electrical service. Wire throughout a new single family dwelling: switches, lights, receptacles, TV's, phones, and interconnected smoke/CO detectors as per 2014 NEC.",2020-11-20 05:00:00+00,-75.1813374694249,39.97870452070508
1042303,2651 COLLINS ST,New Construction,Commercial,,ELECTRICAL WIRING/DEVICES 200AMP SERVICE WITH 40 CIRCUITS AS PER 2014 NEC  ,2020-01-16 16:30:00+00,-75.12216678950747,39.98518728085472
MP-2022-000870,261 S 60TH ST,New Construction,Commercial,,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES
For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards. Deviations from these standards require submission of construction and site plans. 
Install One (1)- 92% Eff. 80,000 BTU Gas furnaces Exhausted via direct vent to the exterior (Side) install ductwork, grilles, registers and diffusers, installing One  2-Ton Coil & One 2-Ton 13 SEER A/C condenser located on a pad at the rear of the building on the ground floor. and
 In upper units install three (3)- 92% Eff. 60,000 BTU Gas furnaces Exhausted via direct vent to the exterior (Side) install all ductwork, grilles, registers and diffusers, installing  three (3)  2-Ton Coil & One 2-Ton 13 SEER A/C condenser located on a pad at the rear of the building  (MLTF) CP-2021-003784",2022-02-23 05:00:00+00,-75.24154390941887,39.957100081199776
MP-2023-001682,1809 MASTER ST,New Construction,Commercial,,"FOR THE INSTALLATION OF HVAC APPLIANCES, EQUIPMENT, DUCTWORK AND REGISTERS/DIFFUSERS PER APPROVED PLANS AND MANUFACTURER'S SPECIFICATIONS.  *2018 IMC REVIEW*",2023-06-30 04:00:00+00,-75.1655474202169,39.97551048134495
MP-2023-001888,1417 N MARSTON ST,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2023-001430,2023-08-25 04:00:00+00,-75.18038554942449,39.97768137070266
FP-2024-002538,7801 STATE RD,New Construction,Commercial,,ALTERATIONS TO EXISTING NFPA 13 SPRINKLER SYSTEM FOR NEW LAYOUT IN MEETING HOUSE BUILDING AND SOLARIUMS AS PER APPROVED PLANS. NO WORK TO EXISTING SPRINKLER MAIN OR RISER. ALL WORK SHALL BE PERFORMED BY A FIRE SUPPRESSION CONTRACTOR LICENSED BY THE CITY OF PHILADELPHIA.,2024-12-11 05:00:00+00,-75.01738643995473,40.02742521059458
MP-2023-004852,3116 CLIFFORD ST,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2023-008722,2025-01-24 05:00:00+00,-75.1856071705347,39.98283645133596
PP-2023-017205,9227R-31 E ROOSEVELT BLVD,New Construction or Additions,Commercial,,"1 1/2"" Domestic water line
CURB Trap FAI HD",2024-01-22 05:00:00+00,-75.03237935965997,40.0738388912469
PP-2024-017350,223 S 6TH ST,New Construction or Additions,Commercial,,"One condo (unit 601 only). All sanitary, domestic water and vent piping servicing unit 601. Unit consist of 5-Lavatories, 3-Showers, 1-Tub, 4- Water Closets, 1- Wet Bar Sink, 1-Kitchen sink, 2 Laundry waste outlet boxes. To include all fixtures and piping.",2025-02-28 05:00:00+00,-75.15090909021023,39.94671632120703
1048599,9307 KREWSTOWN RD,New Construction,Commercial,,"REWIRE TO INCLUDE 2'X2' TROFFE LIGHT SWITCHES, EMERGENCY LIGHT, EXIT LIGHT AND APPLIANCE CONNECTOR TO EXISTING 100AMO 120V/208V/3 PANEL AND SERVICE AS PER 2017 NEC (EAST DIST)  ",2020-05-04 04:00:00+00,-75.04474543989417,40.08675492072277
1055486,1702 N BOUVIER ST,New Construction,Commercial,,"NEW AADDRESSABLE FIRE ALARM PANEL. REPLACE PULL STATIONS, REPLACE SMOKE DETECTORS, ADD ONE NEW SMOKE DETECTOR, REUSE EXISTING HORN STROBES PER NFPA 72 AND 2017 NEC (NORTH DIST) NEW AADDRESSABLE FIRE ALARM PANEL. REPLACE PULL STATIONS, REPLACE SMOKE DETECTORS, ADD ONE NEW SMOKE DETECTOR, REUSE EXISTING HORN STROBES PER NFPA 72 AND 2017 NEC (NORTH DIST) ",2020-05-12 04:00:00+00,-75.16357764003143,39.97979457051225
1057535,5026 OSAGE AVE,New Construction,Commercial,,ELECTRICAL REWIRE/DEVICES NEW 100AMP SERVICE AS PER 2014 NEC  ,2020-03-12 19:22:00+00,-75.22346512040174,39.952184801331256
FP-2022-001087,1205-07 S 15TH ST,New Construction,Commercial,,"INSTALL NEW FIRE SUPPRESSION SYSTEM COMPLYING WITH NFPA 13 THROUGHOUT THE BUILDING TO INCLUDE 2"" MAIN FIRE SERVICE LINE WITH A 4"" BACKFLOW PREVENTION ASSEMBLY, A FIRE PUMP, AND TWO (2) STANDPIPE RISERS COMPLYING WITH NFPA 14 AS PER APPROVED PLANS. ALL WORK SHALL BE PERFORMED BY A FIRE SUPPRESSION CONTRACTOR LICENSED BY THE CITY OF PHILADELPHIA.",2022-08-23 04:00:00+00,-75.16860820036703,39.93543766070775
FP-2020-000767,1208 S 25TH ST,New Construction,Commercial,,"FOR THE INSTALLATION OF A 2-INCH FIRE SERVICE LINE, 2.5-INCH BACKFLOW PREVENTER AND WET FIRE SUPPRESSION SYSTEMS IN ACCORDANCE WITH APPROVED PLANS, HYDRAULIC CALCULATIONS AND NFPA 13.",2020-07-08 04:00:00+00,-75.18559128949632,39.938258591060496
PP-2020-005250,632 S 55TH ST,New Construction or Additions,Commercial,,"3 WATER CLOSETS, 3 LAVATORIES, 2 BATHTUBS, 2 KITCHEN SINKS, 2 GARBAGE DISPOSALS, 2 LAUNDRY BOXES, 3 WATER HEATERS",2020-09-24 04:00:00+00,-75.23325520028014,39.95015568138223
1037644,5400-50 N 6TH ST,New Construction,Residential,,RELOCATE 500 SPRINKLER HEADS AS PER NFPA NO.13 AND ALL LOCAL CODES.,2020-01-10 14:22:00+00,-75.13392880045716,40.0345529209214
PP-2025-000962,2401-03 N 3RD ST,New Construction or Additions,Commercial,,"Installing 1"" Water Service, 5"" Curb Trap, 5"" Main Drin, 4"" Fresh Air Inlet

Installing 30 Fixtures

3 Hot Water Heaters
3 kitchen sinks
3 washer machines
8 toilets
8 lavs
5 shower/tibs",2025-01-31 05:00:00+00,-75.13810335964286,39.987350010705036
PP-2021-024944,503 S 6TH ST,New Construction or Additions,Residential,,Plumbing Permit (Exterior Building Drainage) for combo RP-2021-019444,2022-12-21 05:00:00+00,-75.1520172200902,39.94280093122251
PP-2024-006627,940 N 43RD ST,New Construction or Additions,Commercial,,"Installing 1 1/2"" Water Service, 5"" Curb Trap, 4"" Main Drain, 4"" Fresh Air Inlet",2024-05-08 04:00:00+00,-75.21057369984665,39.97092207132176
PP-2021-015302,2614 E HAGERT ST,New Construction or Additions,Residential,,Plumbing Permit (Exterior Building Drainage) for combo RP-2021-005132,2022-08-04 04:00:00+00,-75.12161970056451,39.97691323075047
PP-2023-002627,841-51 S 2ND ST,New Construction or Additions,Commercial,,"Installation of new plumbing system according to Plumbing plans. Installation of drainage and domestic water, and installation of fixtures.

Addition of Fixtures and piping in basement and first floor. Will follow up with P drawings
Building permit also emended and approved. Addition of 5 KS, 13 WC, 13 Lavs, 6 Washing 
Machines, 10 Bath tubs, and 6 WH.",2023-05-02 04:00:00+00,-75.14649433020527,39.936182361239936
EP-2021-005282,2004 CAMBRIDGE ST,New Construction,Residential,,"Install 200 AMP Service, 2 power panels 125 Amp. Install 26 switches, 34 fixtures, 51 receptacles, 8 hardwired smoke detectors. Install 2 lines for A/C with disconnects outdoor.  AS PER NEC 2014",2021-05-25 04:00:00+00,-75.16948449991922,39.97194561094133
FP-2021-003844,2001 BEACH ST,New Construction,Residential,,"FOR THE INSTALLATION OF A TWO-INCH FIRE SERVICE LINE, ON-SITE SIX-INCH BACKFLOW PREVENTER AND WET FIRE SPRINKLER SYSTEM IN ACCORDANCE WITH PLANS, HYDRAULIC CALCULATIONS AND NFPA 13R.",2022-03-01 05:00:00+00,-75.11693210992816,39.971272101012175
FP-2021-003506,2001 BEACH ST,New Construction,Residential,,"FOR THE INSTALLATION OF AN NFPA 13R FIRE SUPRESSION SYSTEM SERVICED BY A TWO INCH PRIVATE FIRE SERVICE LINE CONNECTED TO A PREVIOUSLY APPROVED 4"" SERVICE LINE CONNECTED TO  A 6"" PRIVATE MAIN WITH A FIRE PUMP AND  WILKENS 350 BACK FLOW PREVENTER ASSEMBLY LOCATED WITHIN A METER PIT AS PER APPROVED PLANS  FP-2020-000201  FOR SITE WORK, PUMP, BACKFLOW PREVENTION ASSEMBLY AND MAINS.    ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. FIRE SUPPRESSION SYSTEM TO BE INSTALLED IN ACCORDANCE WITH NFPA 13R STANDARD. ",2022-09-09 04:00:00+00,-75.11693210992816,39.971272101012175
FP-2021-000884,2001 BEACH ST,New Construction,Residential,,FOR THE INSTALLATION OF A NFPA 13R FIRE SUPPRESSION SYSTEM FOR A SINGLE FAMILY DWELLING SERVICED BY A TWO INCH FIRE SERVICE LINE WITH A BACK FLOW PREVENTER ASSEMBLY LOCATED IN BUILDING #47. ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. FIRE SUPPRESSION SYSTEM TO BE INSTALLED IN ACCORDANCE WITH NFPA 13R STANDARD. ,2021-05-24 04:00:00+00,-75.11693210992816,39.971272101012175
FP-2023-000060,2001 RICHMOND ST,New Construction,Residential,,Fire Suppression System Permit for combo RP-2022-009149,2024-11-01 04:00:00+00,-75.12027705007287,39.969617450796896
EP-2024-004354,6995 PECHIN ST,New Construction,Residential,,Electrical Permit for combo RP-2023-011348,2025-07-21 04:00:00+00,-75.22913728038466,40.0429008809491
PP-2021-016475,1602 N BODINE ST,New Construction or Additions,Residential,,Plumbing Permit for combo SP-2021-000624,2021-09-27 04:00:00+00,-75.14050768045819,39.97520411062296
PP-2021-000360,175 W OXFORD ST,New Construction or Additions,Residential,,FOR THE ERECTION OF AN ATTACHED STRUCTURE FOR USE AS SINGLE-FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEOTECH REPORT. SEPARATE PERMITS REQUIRED FOR SPRINKLER (13R) WORK. ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2018 IECC. PRIOR TO ISSUANCE OF C/O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.,2022-04-08 04:00:00+00,-75.138064660204,39.974978821282384
PP-2021-006808,735 N 39TH ST,New Construction or Additions,Residential,,"CT,FAI,MD,WD 1IN.",2021-04-23 04:00:00+00,-75.19999997988084,39.966463861075646
1057402,1228 E CLIVEDEN ST,New Construction,Commercial,,RUN DEDICATED LINE TO BATHROOM SWITCH INSTALL NEW BASEMENT OUTLETS AND BREAKERS ALL BY FISHING ONLY AS PER 2014 NEC  ,2020-03-12 16:05:00+00,-75.17008531044517,40.059578150915094
PP-2024-016828,3033 BALTZ ST,New Construction or Additions,Residential,,Plumbing Permit (Interior) for combo RP-2024-010313,2025-03-17 04:00:00+00,-75.18581982016353,39.97601816083885
FP-2022-000759,2642 N 5TH ST,New Construction,Commercial,,FOR INSTALLATION OF SPRINKLER SYSTEM PER NFPA 13R WITH 2-INCH FIRE SERVICE LINE AND 1-INCH BFP DEVICE AS PER APPROVED PLANS.,2022-05-19 04:00:00+00,-75.14052160977192,39.991655201034916
FP-2020-000764,1945 N MARSHALL ST,New Construction,Commercial,,For the installation of an automatic wet sprinkler system throughout a three (3) story multi-family dwelling with basement and roof deck access structure to include a new two (2) inch fire service line and a new two (2) inch backflow prevention device. All work to be done per plans and in accordance with NFPA 13R by a fire suppression contractor licensed by the City of Philadelphia.,2020-07-01 04:00:00+00,-75.14511985020788,39.981191160758684
FP-2020-001491,5115 ROCHELLE AVE,New Construction,Commercial,,"FOR THE INSTALLATION OF A FIRE SUPPRESSION SYSTEM IN ACCORDANCE WITH NFPA 13, WITH A TWO-INCH FIRE SERVICE LINE; FOR THE INSTALLATION OF A BACKFLOW PREVENTION ASSEMBLY, AS PER APPROVED PLANS.",2020-09-15 04:00:00+00,-75.21055044001226,40.01725044107049
FP-2021-002223,3201 N 5TH ST,New Construction,Commercial,,"FOR THE INSTALLATION OF A FIRE SUPPRESSION SYSTEM IN ACCORDANCE WITH NFPA 13, WITH A SIX-INCH FIRE SERVICE LINE; FOR THE INSTALLATION OF A MANUAL WET STANDPIPE SYSTEM, AS PER APPROVED PLANS.",2022-01-05 05:00:00+00,-75.13739994017585,40.00053482065916
FP-2022-000365,2159 E BIRCH ST,New Construction,Residential,,"INSTALL NEW FIRE SUPPRESSION SYSTEM COMPLYING WITH NFPA 13D THROUGHOUT AN EXISTING STRUCTURE. INSTALLATION  TO INCLUDE 1"" MAIN FIRE SERVICE LINE AS PER APPROVED PLANS. ALL WORK SHALL BE PERFORMED BY A FIRE SUPPRESSION CONTRACTOR LICENSED BY THE CITY OF PHILADELPHIA. AMENDED AS OF 9/6/2022 FOR A PERMIT LANGUAGE CORRECTION TO INCLUDE 1-1/2"" MAIN FIRE SERVICE LINE.",2022-04-20 04:00:00+00,-75.11493010983594,39.98810029092462
1055914,2905 WILDER ST,New Construction,Commercial,,REMOVE AND REPLACE 100AMP SERVICE INSTALL NEW 100AMP PANEL ALL NEW ELECTRICAL WIRING/DEVICES THROUGHOUT AS PER 2014 NEC  ,2020-03-06 20:32:00+00,-75.19266982975338,39.93546582100426
PP-2026-000098,1030 W GIRARD AVE,New Construction or Additions,Commercial,,"Install a 10""storm and three 8""sanitary curb trap complete with fresh air and main house drains.",2026-01-06 05:00:00+00,-75.15379224967432,39.97039378076926
PP-2023-010491,1031 GERMANTOWN AVE,New Construction or Additions,Residential,,"Install 1"" domestic, storm and sanitary curb trap complete with fresh air and main house drains.
Install (5) lavatories, (5) water closets, (4) tub/shower, (1) laundry sink, (1) kitchen sink, (1) hot water heater, (2) hose bibs.",2023-07-28 04:00:00+00,-75.1379860404957,39.96618185084706
PP-2021-011585,2133 SEARS ST,New Construction or Additions,Residential,,"New construction, 3 story, single family dwelling with a rooftop deck with an open spiral stair to roof deck.  ( details as shown on the plan).

AMEND TO ADD

Install fixtures 
Water Distribution, inlet, curb trap, house drain
Kitchen, laundry, hot water heater
water closet, lavs, showers",2021-10-18 04:00:00+00,-75.18006176996997,39.93543756127964
PP-2022-011480,429 W YORK ST,New Construction or Additions,Residential,,Plumbing Permit (Water Distribution) for combo RP-2022-006781,2023-06-23 04:00:00+00,-75.14045426948222,39.98756560096777
PP-2020-008285,1305 DORRANCE ST,New Construction or Additions,Residential,,"For minor construction work at the subject property in accordance with all applicable provisions of the Philadelphia Code, all references codes and standards, and the attached EZ Standard, where included. Deviation from this standard shall result in permit revocation. A separate permit from the Philadelphia Department of Streets is required for any sidewalk and street closures. All means of pedestrian protection required at the site in accordance with the Philadelphia Building Code Chapter 33 shall be in place prior to start of work.",2020-09-09 04:00:00+00,-75.17497009008382,39.93475866064014
PP-2021-013799,2134 N 4TH ST,New Construction or Additions,Residential,,Plumbing Permit (Interior) for combo RP-2021-008439,2022-01-24 05:00:00+00,-75.14035553954804,39.9835500505192
PP-2021-018213,1312 S 30TH ST,New Construction or Additions,Residential,,Plumbing Permit (Water Distribution) for combo RP-2021-009166,2022-03-11 05:00:00+00,-75.19388048974304,39.93722060063174
PP-2025-002001,2043 N ORKNEY ST,New Construction or Additions,Residential,,Plumbing Permit (Water Distribution) for combo RP-2024-012679,2025-02-19 05:00:00+00,-75.14174342946839,39.98223036136037
PP-2024-009606,2241 W THOMPSON ST,New Construction or Additions,Residential,,Plumbing Permit (Exterior Building Drainage) for combo RP-2024-004225,2024-07-26 04:00:00+00,-75.17332327965886,39.9752219512993
PP-2021-013761,1714 SEYBERT ST,New Construction or Additions,Residential,,"Inlet, water distribution, drain, curb trap 
laundry, kitchen, hot water, lavs, water closet, shower",2021-08-03 04:00:00+00,-75.16429529978205,39.97414599095943
PP-2022-014504,2221 E WILLIAM ST,New Construction or Additions,Residential,,Plumbing Permit (Interior) for combo RP-2022-008773,2023-09-19 04:00:00+00,-75.11555660033464,39.98677989138708
PP-2022-016360,2229 E WILLIAM ST,New Construction or Additions,Residential,,Plumbing Permit (Interior) for combo RP-2022-008788,2023-08-24 04:00:00+00,-75.1154251702119,39.98663146086056
MP-2021-005553,2002 BROWN ST,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2021-005540,2022-05-23 04:00:00+00,-75.17001750042294,39.968937541259756
MP-2022-000617,7048 GERMANTOWN AVE,New Construction,Residential,,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES
For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards. Deviations from these standards require submission of construction and site plans. 
INSTALLATION OF (2) 95% 60,000 BTU GAS FURNACE WITH 2.5 TON 13 SEER AC AND ALL REQUIRED DUCT WORK. ",2022-01-28 05:00:00+00,-75.18952620972796,40.057536390834436
MP-2020-006805,1739 N HOWARD ST,New Construction,Residential,,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES -(INSTALLATION OF (1) 40,000 95% GAS FURNACE WITH 1.5 TON AC SYSTEM AND (1) 60,000 GAS FURNACE WITH 2.5 TON AC SYSTEM. 14 REGISTERS. CONDENSER LOCATED IN REAR YARD.) For the installation of New Ductwork, Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards.  Deviations from these standards require submission of construction and site plans. (Note: rooftop installations will require plans unless it has already been included on any approved alteration plans.)",2020-12-30 05:00:00+00,-75.13470984948265,39.976766590707875
MP-2020-004704,5115 ROCHELLE AVE,New Construction,Commercial,,"FOR THE INSTALLATION OF HVAC APPLIANCE, REGISTERS, DIFFUSERS AND ASSOCIATED DUCTWORK. APPLIANCES TO BE INSTALLED IN ACCORDANCE WITH MANUFACTUER'S SPECIFICATIONS. ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN PROFESSIONAL PRIOR TO THE START OF ANY WORK.",2020-11-03 05:00:00+00,-75.21055044001226,40.01725044107049
MP-2020-006395,801 ARAMINGO AVE,New Construction,Commercial,,"FOR THE INSTALLATION OF REGISTERS, DIFFUSERS, AND APPLIANCES WITH ASSOCIATED DUCTWORK THROUGHOUT A NEW FOUR (4) STORY ATTACHED STRUCTURE TO BE USED AS GROUP R-2; APPLIANCES TO BE INSTALLED IN ACCORDANCE WITH MANUFACTURER'S SPECIFICATIONS; ALL WORK TO BE DONE PER APPROVED PLANS; IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. SEPARATE PERMITS REQUIRED FOR ALL OTHER WORK; ALL DUCTWORK TO BE SELF-CONTAINED WITHIN EACH DWELLING UNIT; SEE CP-2020-000803 FOR NEW CONSTRUCTION PERMIT.",2021-03-29 04:00:00+00,-75.12389618037517,39.97289290094691
EP-2021-008238,530 REED ST,New Construction,Residential,,"Temporary Service
100amp 30cir panel
100amp meter pan
100amp (4) GFI outlets
Grounding and Bonding per 2017 NEC code",2021-08-11 04:00:00+00,,
PP-2021-023545,2001 BEACH ST,New Construction or Additions,Residential,,Plumbing Permit (Interior) for combo RP-2021-019229,2023-12-01 05:00:00+00,-75.11693210992816,39.971272101012175
MP-2020-002209,829 KNORR ST,New Construction,Residential,,"For the installation of
[1] Mitsubishi Electric MXZ-3C30NA2-U1 Outdoor Heat Pump
[1] MSZ-GL09NA-U1 Indoor Unit
[1] MSZ-GL18NA-U1 Indoor Unit
All work as per attached standards. Deviations from these standards require submission of construction and site plans. *ROOFTOP UNITS PERMITTED IF INCLUDED IN BUILDING PLANS*",2020-07-14 04:00:00+00,-75.08378653947672,40.05087735048584
PP-2021-010079,2507 E LETTERLY ST,New Construction or Additions,Residential,,"FOR THE CONSTRUCTION OF AN ATTACHED STRUCTURE WITH CELLAR AND ROOF DECK ACCESSED BY A ROOF DECK ACCESS STRUCTURE AND A SUN DECK ON REAR FIRST FLOOR LEVEL.   FOR A SINGLE FAMILY HOUSEHOLD LIVING WITH ONE (1) ACCESSORY INTERIOR PARKING SPACES ACCESS FROM REAR SHARED DRIVEWAY.  AS PER PLANS. ************UNDERPINNING IS AT PARCEL ""C"" AND SHORING WILL BE ERECTED AT PARCEL ""G"" AS PER PLANS **************************AS PER PLUMBING CODE.  ",2021-09-23 04:00:00+00,-75.12179992030211,39.978012790838505
PP-2021-000344,1131 CHRISTIAN ST,New Construction or Additions,Residential,,"install drains for toilets lavs, showers, tubs and kitchen sinks
install water lines for toilets ,lavs, tube, showers and  kitchen sinks",2021-01-14 05:00:00+00,-75.16211672975652,39.93968841088576
